#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi    ft
2007 01 07 14 00 211 14.6 18.2  4.99 14.29  8.03 272 1026.2  10.4 999.0 999.0 99.0 99.00
2007 01 07 15 00 213 15.4 19.0  4.83 14.29  7.50 278 1025.5  10.2 999.0 999.0 99.0 99.00
2007 01 07 16 00 214 16.0 19.2  5.43 14.29  8.06 283 1025.2   9.8 999.0 999.0 99.0 99.00
2007 01 07 17 00 225 14.3 18.2  5.80 16.67  8.13 277 1026.7   9.8 999.0 999.0 99.0 99.00
2007 01 07 18 00 229 12.5 15.4  5.96 14.29  8.75 280 1028.3  10.2 999.0 999.0 99.0 99.00
2007 01 07 19 00 228 11.3 14.9  6.52 16.67  9.13 289 1029.0  10.2 999.0 999.0 99.0 99.00
2007 01 07 20 00 238 11.3 15.2  6.10 11.11  8.85 279 1029.1  10.2 999.0 999.0 99.0 99.00
2007 01 07 21 00 245 11.8 16.0  6.21 14.29  9.04 292 1029.1  10.5 999.0 999.0 99.0 99.00
2007 01 07 22 00 267  8.6 11.7  6.50 16.67  9.40 287 1029.3   9.5 999.0 999.0 99.0 99.00
2007 01 07 23 00 251  8.3 11.1 99.00 99.00 99.00 999 1029.9  10.2 999.0 999.0 99.0 99.00
2007 01 08 00 00 267  6.2  8.1  6.90 14.29  9.83 285 1030.6   9.7 999.0 999.0 99.0 99.00
2007 01 08 01 00 262  6.7  8.3  6.19 16.67  9.74 288 1031.1   9.8 999.0 999.0 99.0 99.00
2007 01 08 02 00 273  8.4 10.7  5.91 12.50  9.66 289 1031.9   9.6 999.0 999.0 99.0 99.00
2007 01 08 03 00 286  8.0 10.3  5.75 14.29  9.72 289 1032.8   9.5 999.0 999.0 99.0 99.00
2007 01 08 04 00 273  6.2  9.0  6.05 14.29 10.09 289 1033.4   9.1 999.0 999.0 99.0 99.00
2007 01 08 05 00 298  5.0  6.7  6.17 14.29 10.23 284 1034.0   9.0 999.0 999.0 99.0 99.00
2007 01 08 06 00 292  3.6  6.4  6.26 14.29 10.22 285 1034.8   9.1 999.0 999.0 99.0 99.00
2007 01 08 07 00 287  3.8  6.3  6.23 16.67 10.33 290 1035.3   9.0 999.0 999.0 99.0 99.00
2007 01 08 08 00 285  2.6  4.8  5.56 14.29  9.86 288 1035.5   9.1 999.0 999.0 99.0 99.00
2007 01 08 09 00 316  1.0  3.5  6.19 14.29 10.31 295 1035.4   9.0 999.0 999.0 99.0 99.00
2007 01 08 10 00   4  2.1  3.8  6.61 16.67 10.88 290 1035.5   8.5 999.0 999.0 99.0 99.00
2007 01 08 11 00 323  0.9  2.5  5.90 16.67 10.11 291 1035.9   8.7 999.0 999.0 99.0 99.00
2007 01 08 12 00 123  1.9  5.0  6.76 16.67 10.75 278 1035.8   8.6 999.0 999.0 99.0 99.00
