#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC   mi    ft
2004 01 08 21 00 134  8.0  9.5  3.56 11.11  7.44 236 1013.0  10.3   9.7 999.0 99.0 99.00
2004 01 08 22 00 123  5.4  6.7  3.61 12.50  7.94 243 1013.1  10.5   9.7 999.0 99.0 99.00
2004 01 08 23 00  85  7.2  9.2  3.13 12.50  7.60 245 1013.1   9.1   9.7 999.0 99.0 99.00
2004 01 09 00 00  95  9.0 10.7  3.23 11.11  7.55 246 1012.9   9.1   9.7 999.0 99.0 99.00
2004 01 09 01 00  78  9.1 11.3  2.78 10.00  6.75 225 1012.1   9.0   9.7 999.0 99.0 99.00
2004 01 09 02 00  82  9.7 12.3  2.89 10.00  7.08 213 1011.2   9.4   9.8 999.0 99.0 99.00
2004 01 09 03 00  90  9.6 11.8  2.94 10.00  6.73 225 1011.0   9.4   9.8 999.0 99.0 99.00
2004 01 09 04 00  98  8.3 11.2  2.91  9.09  6.88 219 1011.2   9.9   9.7 999.0 99.0 99.00
2004 01 09 05 00  90  9.2 11.2  2.67 10.00  6.65 223 1010.7   9.5   9.7 999.0 99.0 99.00
2004 01 09 06 00  93  8.9 10.6  2.56 11.11  6.56 244 1010.2  10.3   9.7 999.0 99.0 99.00
2004 01 09 07 00  94 10.3 12.3  2.59 11.11  6.30 243 1009.5  10.6   9.7 999.0 99.0 99.00
2004 01 09 08 00  88 10.5 13.1  2.55 10.00  6.17 232 1009.2   9.8   9.7 999.0 99.0 99.00
2004 01 09 09 00  90 10.7 13.6  2.70 10.00  6.10 221 1008.5  10.2   9.8 999.0 99.0 99.00
2004 01 09 10 00  87  9.5 11.9  2.44  9.09  5.97 211 1008.7  10.2   9.8 999.0 99.0 99.00
2004 01 09 11 00  93  9.0 11.8  2.51 10.00  6.25 226 1009.2  10.3  10.2 999.0 99.0 99.00
2004 01 09 12 00 111  6.5  7.9  2.51 11.11  6.11 237 1009.4  11.3  10.2 999.0 99.0 99.00
2004 01 09 13 00  90  7.9  9.9  2.49 10.00  6.22 225 1008.0  10.5  10.2 999.0 99.0 99.00
2004 01 09 14 00  94  8.3 10.6  2.84 10.00  6.79 213 1008.3  10.2  10.2 999.0 99.0 99.00
2004 01 09 15 00 150  5.0  6.3  2.91 11.11  7.01 211 1009.6  11.3  10.3 999.0 99.0 99.00
2004 01 09 16 00 149  6.4  7.6  2.65 10.00  6.72 212 1009.9  11.7  10.2 999.0 99.0 99.00
2004 01 09 17 00 138  6.9  8.0  2.73 10.00  6.97 213 1010.3  11.2  10.3 999.0 99.0 99.00
2004 01 09 18 00 149  7.2  9.1  2.97 10.00  7.48 196 1010.2  11.8  10.3 999.0 99.0 99.00
2004 01 09 19 00 105  7.3  9.1  3.05 11.11  7.46 212 1010.7  10.9  10.3 999.0 99.0 99.00
2004 01 09 20 00 105  5.9  7.3  3.35 11.11  7.54 207 1010.2  11.1   9.8 999.0 99.0 99.00
2004 01 09 21 00 142  9.8 11.8  3.61 11.11  7.93 197 1010.1  12.1   9.8 999.0 99.0 99.00
2004 01 09 22 00 166 13.2 16.6  3.56 10.00  7.24 192 1009.9  12.1   9.8 999.0 99.0 99.00
2004 01 09 23 00 174 10.6 14.1  4.04 11.11  7.59 200 1010.4  11.4   9.8 999.0 99.0 99.00
2004 01 10 00 00 168 12.8 15.7  3.68 10.00  7.07 197 1011.4  10.6  10.1 999.0 99.0 99.00
2004 01 10 01 00 165 11.8 15.0  4.56 11.11  7.57 197 1012.0  10.6  10.2 999.0 99.0 99.00
