YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2001 01 09 09 163 11.0 13.2  3.46 11.11  7.19 250 1010.1   9.4   9.5   6.1 99.0 99.00
2001 01 09 10 152 10.5 12.7  3.26 12.50  6.90 254 1008.7   9.2   9.5   5.8 99.0 99.00
2001 01 09 11 159 11.2 13.7  3.58 12.50  7.27 252 1008.3   9.1   9.5   5.2 99.0 99.00
2001 01 09 12 156 10.8 13.0  3.57 10.00  7.24 229 1007.1   9.0   9.5   4.1 99.0 99.00
2001 01 09 13 147 11.3 13.6  3.41 11.11  7.06 241 1005.8   9.0   9.5   3.6 99.0 99.00
2001 01 09 14 141 10.5 12.5  3.61 11.11  7.14 246 1004.5   9.0   9.5   3.1 99.0 99.00
2001 01 09 15 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2001 01 09 16 127 11.7 14.5  3.86 12.50  7.48 259 1001.4   9.5   9.5   1.7 99.0 99.00
2001 01 09 17 127  9.6 13.1 99.00 99.00 99.00 999 1000.7   9.7   9.5   2.0 99.0 99.00
2001 01 09 18 128 12.4 14.8  3.89 11.11  7.05 264  999.1  10.0   9.5   1.7 99.0 99.00
2001 01 09 19 149  9.4 13.2  3.75 12.50  7.01 264  999.0  10.2   9.5   2.3 99.0 99.00
2001 01 09 20 152 13.5 16.8  4.32 12.50  7.29 268  997.5   8.4   9.5   3.4 99.0 99.00
2001 01 09 21 135 14.2 17.4  3.97 12.50  7.19 262  995.5   7.9   9.5   4.3 99.0 99.00
2001 01 09 22 139 15.5 19.6  4.18 14.29  7.30 263  994.6   8.3   9.5   4.2 99.0 99.00
2001 01 09 23 158 16.0 20.1  4.55 12.50  7.53 258  994.7   9.4   9.5   4.8 99.0 99.00
2001 01 10 00 158 16.5 19.9  5.25 12.50  7.89 250  995.2   8.7   9.5   5.1 99.0 99.00
2001 01 10 01 170 13.6 16.2  5.25 10.00  7.89 230  996.3   9.3   9.5   7.4 99.0 99.00
2001 01 10 02 184 11.9 14.8  5.32 14.29  8.16 266  997.7  10.2   9.6   7.6 99.0 99.00
2001 01 10 03 187 11.2 14.3  4.92 12.50  8.11 255  999.1  10.2   9.7   7.1 99.0 99.00
2001 01 10 04 196 11.6 14.2  4.72 11.11  8.02 221 1000.0  10.2   9.5   6.7 99.0 99.00
2001 01 10 05 195 11.0 15.3  5.02 14.29  8.52 266 1001.1  10.2   9.5   6.9 99.0 99.00
2001 01 10 06 196  9.6 11.7  4.81 12.50  8.25 250 1002.3   9.5   9.5   5.5 99.0 99.00
2001 01 10 07 201  8.8 11.6  5.06 12.50  8.73 256 1003.5   9.8   9.5   5.6 99.0 99.00
2001 01 10 08 199  8.2 10.2  5.02 14.29  9.25 261 1004.5   9.7   9.5   6.2 99.0 99.00
2001 01 10 09 197  7.8 10.2  5.02 14.29  8.94 262 1004.9   9.8   9.5   5.7 99.0 99.00
2001 01 10 10 187  5.7  7.2  5.72 12.50  9.62 259 1005.8   9.7   9.5   6.0 99.0 99.00
2001 01 10 11 192  5.4  7.1  5.90 12.50  9.70 257 1006.3   9.5   9.5   5.7 99.0 99.00
2001 01 10 12 190  4.8  6.5  5.48 12.50  9.53 264 1006.8   9.7   9.5   6.9 99.0 99.00
2001 01 10 13 175  3.0  4.6  6.42 14.29 10.15 262 1006.5   9.6   9.5   7.4 99.0 99.00
2001 01 10 14 163  7.7 11.8  6.27 14.29 10.18 265 1006.7   9.4   9.5   7.3 99.0 99.00
2001 01 10 15 157  6.9 10.0  5.31 12.50  9.26 268 1006.8   8.6   9.5   5.9 99.0 99.00
2001 01 10 16 125  7.1  9.8  4.90 14.29  8.90 268 1006.8   8.9   9.5   5.9 99.0 99.00
2001 01 10 17  78  6.3  8.5  4.95 12.50  9.18 268 1006.9   8.2   9.5   6.3 99.0 99.00
2001 01 10 18  64  6.9  9.2  4.45 12.50  8.73 266 1006.4   8.2   9.5   5.4 99.0 99.00
2001 01 10 19  65  7.9 10.8  4.94 14.29  9.43 276 1005.6   8.5   9.5   5.4 99.0 99.00
2001 01 10 20  57  8.9 12.0  4.16 12.50  8.61 276 1003.9   8.5   9.5   5.3 99.0 99.00
