#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2019 01 05 12 50 152  7.4  9.2  3.69 12.12  8.63 268 1001.4  11.2  10.7   6.0 99.0 99.00
2019 01 05 13 50 138  6.6  7.9  3.55 12.90  8.63 265 1000.3  11.3  10.7   5.8 99.0 99.00
2019 01 05 14 50 125  6.0  7.4  3.28 12.12  8.41 275  999.5  11.4  10.7   6.1 99.0 99.00
2019 01 05 15 50 103  5.0  7.2  3.21 12.12  8.62 277  998.7  11.1  10.7   7.0 99.0 99.00
2019 01 05 16 50  89  6.5  8.4  3.32 12.12  8.80 277  998.2   9.6  10.7   6.9 99.0 99.00
2019 01 05 17 50 142  6.5  9.2  2.89 12.90  8.13 267  998.2  10.2  10.7   6.2 99.0 99.00
2019 01 05 18 50 182  5.3  6.2  3.06 12.12  8.39 276  997.2   9.9  10.7   5.8 99.0 99.00
2019 01 05 19 50 132  6.8  9.2  2.51 12.12  7.86 257  995.7   9.8  10.8   7.2 99.0 99.00
2019 01 05 20 50 105  8.9 10.6  2.60 12.12  7.77 273  993.6  10.0  10.8   6.3 99.0 99.00
2019 01 05 21 50 131 10.7 13.3  2.28 12.90  7.00 291  992.8  10.4  10.6   6.3 99.0 99.00
2019 01 05 22 50 115  9.1 11.2  2.45 11.43  6.75 279  991.0  10.0  10.6   6.4 99.0 99.00
2019 01 05 23 50  88 10.3 12.5  2.32 11.43  6.51 280  989.6  10.0  10.6   6.3 99.0 99.00
2019 01 06 00 50 106  6.5  8.5  2.37 12.12  6.47 274  989.0  10.0  10.6   7.4 99.0 99.00
2019 01 06 01 50 103  8.7 10.7  2.52 11.43  7.04 274  987.6  10.4  10.6   7.2 99.0 99.00
2019 01 06 02 50 119  9.7 11.7  2.56 10.81  6.98 268  987.1  10.4  10.6   6.5 99.0 99.00
2019 01 06 03 50 106  6.5  8.0  2.66 10.00  6.98 244  986.1  10.4  10.6   6.8 99.0 99.00
2019 01 06 04 50  89  6.4  8.1  2.47 12.12  6.99 251  985.3   9.7  10.6   6.6 99.0 99.00
2019 01 06 05 50 117  2.4  3.6  2.90 11.43  7.76 266  985.3   9.8  10.6   6.4 99.0 99.00
2019 01 06 06 50 283 17.5 20.9  2.68 10.81  7.46 227  985.5   8.0  10.6   6.9 99.0 99.00
2019 01 06 07 50 280 14.5 17.4  3.27 10.81  6.43 241  991.2   7.7  10.6   6.3 99.0 99.00
2019 01 06 08 50 260 12.6 15.2  3.90 10.81  6.85 237  994.5   8.6  10.6   7.0 99.0 99.00
2019 01 06 09 50 281 12.2 14.9  4.18  8.33  7.19 273  996.4   8.7  10.6   4.8 99.0 99.00
2019 01 06 10 50 259 11.5 13.4  3.89  9.09  7.07 277  998.0   9.3  10.6   3.8 99.0 99.00
2019 01 06 11 50 255 10.7 13.2  3.79  9.09  7.24 253  998.7   9.2  10.6   3.6 99.0 99.00
2019 01 06 12 50 255  8.4 10.9  3.83  8.33  7.15 273  999.3   9.2  10.6   3.1 99.0 99.00
2019 01 06 13 50 250  7.6  9.7  3.83 10.00  7.43 240  999.8   9.2  10.6   2.0 99.0 99.00
2019 01 06 14 50 222  8.3 10.4  3.37  8.33  7.27 270 1000.0   9.1  10.6   2.2 99.0 99.00
2019 01 06 15 50 225  6.5  8.0  3.41 10.00  7.48 263 1000.6   8.9  10.6   2.1 99.0 99.00
2019 01 06 16 50 182  5.2  7.0  3.52 11.43  7.71 218 1001.0   8.7  10.6   1.9 99.0 99.00
2019 01 06 17 50 242  9.5 12.7  3.34 11.43  7.84 204 1000.9   8.7  10.6   2.1 99.0 99.00
2019 01 06 18 50 214  4.9  6.7  3.38  9.09  7.42 279 1001.8   6.5  10.6   2.6 99.0 99.00
2019 01 06 19 50 211  3.6  4.7  3.47  9.09  7.86 269 1001.4   6.8  10.6   3.0 99.0 99.00
2019 01 06 20 50 166  7.9 10.2  3.38 10.00  7.74 241 1000.6   6.5  10.6   4.4 99.0 99.00
2019 01 06 21 50 194  5.0  6.7  3.71  8.33  7.59 290 1000.7   5.5  10.6   3.0 99.0 99.00
2019 01 06 22 50 236  5.4  6.8  3.08 10.81  7.09 210 1000.9   5.9  10.6   4.2 99.0 99.00
2019 01 06 23 50 287  8.2 10.4  3.00 10.00  6.94 219 1001.8   5.7  10.6   3.5 99.0 99.00
2019 01 07 00 50 284  6.1  7.8  2.90  8.33  7.01 294 1002.2   6.6  10.6   2.6 99.0 99.00
2019 01 07 01 50 264  6.5  8.2  2.53  8.33  6.75 263 1003.0   7.1  10.6   3.4 99.0 99.00
2019 01 07 02 50 266  8.0  9.8  2.43  8.33  6.69 287 1003.5   7.7  10.6   3.0 99.0 99.00
2019 01 07 03 50 272  7.8  9.4  2.26 13.79  6.44 274 1004.6   8.0  10.6   2.2 99.0 99.00
2019 01 07 04 50 246  6.4  7.7  2.25  8.33  6.39 284 1005.6   7.2  10.6   2.8 99.0 99.00
