#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2013 01 04 13 50 246  6.2  8.6  2.76 12.90  7.60 272 1023.6   9.4  10.4 999.0 99.0 99.00
2013 01 04 14 50 231  4.3  5.5  2.57 12.12  7.35 263 1024.1   9.4  10.4 999.0 99.0 99.00
2013 01 04 15 50 233  2.2  3.2  2.35 12.12  7.31 267 1024.7   9.4  10.3 999.0 99.0 99.00
2013 01 04 16 50 262  0.9  1.7  2.43 12.12  7.50 267 1025.3   9.5  10.4 999.0 99.0 99.00
2013 01 04 17 50 160  3.8  5.1  2.40 11.43  7.67 255 1025.2   9.8  10.6 999.0 99.0 99.00
2013 01 04 18 50 165  4.9  6.1  2.59 11.43  7.89 263 1025.2   9.6  10.7 999.0 99.0 99.00
2013 01 04 19 50 147  4.4  5.5  2.30 12.12  7.33 275 1024.3   9.3  10.9 999.0 99.0 99.00
2013 01 04 20 50 149  5.1  6.2  2.45 10.81  7.50 254 1023.3   9.3  10.9 999.0 99.0 99.00
2013 01 04 21 50 151  4.5  5.5  2.40 10.81  7.30 250 1022.3   9.5  10.9 999.0 99.0 99.00
2013 01 04 22 50 127  4.5  6.0  2.27 10.81  7.22 273 1021.9   9.6  10.9 999.0 99.0 99.00
2013 01 04 23 50 104  5.8  7.5  2.17 10.00  7.20 257 1021.9   9.1  10.9 999.0 99.0 99.00
2013 01 05 00 50  99  6.3  8.1  2.12 13.79  7.08 272 1021.4   9.1  10.9 999.0 99.0 99.00
2013 01 05 01 50  99  6.8  8.5  2.14 13.79  6.93 271 1020.9   8.8  10.9 999.0 99.0 99.00
2013 01 05 02 50 105  5.7  6.8  1.94 13.79  6.81 276 1020.2   9.0  10.9 999.0 99.0 99.00
2013 01 05 03 50 104  5.6  6.5  1.80 12.90  7.09 282 1020.0   8.9  10.9 999.0 99.0 99.00
2013 01 05 04 50 113  5.6  6.8  1.66 12.90  7.20 272 1019.6   9.0  10.8 999.0 99.0 99.00
2013 01 05 05 50 121  5.5  6.6  1.56 13.79  7.30 275 1019.5   9.1  10.6 999.0 99.0 99.00
2013 01 05 06 50 156  6.0  7.1  1.77 12.12  7.82 280 1019.6   9.9  10.7 999.0 99.0 99.00
2013 01 05 07 50 161  5.4  6.2  1.57 12.90  7.15 278 1019.5   9.8  10.7 999.0 99.0 99.00
